Source.Name,ticker,time,open,high,low,close,Volume
SBIC.csv,SBIC,29/09/2025,189.75,202.5,182,192,126337
SBIC.csv,SBIC,06/10/2025,197.5,202,195,198,33073
SBIC.csv,SBIC,13/10/2025,198.5,200,191,199,120661
SBIC.csv,SBIC,21/10/2025,199,199,196,197,649096
SBIC.csv,SBIC,27/10/2025,197,199,195,195,124046
SBIC.csv,SBIC,03/11/2025,197,198,190.75,195,164438
SBIC.csv,SBIC,10/11/2025,195,195,193.5,194.5,87999
SBIC.csv,SBIC,17/11/2025,194.5,195,187,190,229468
SBIC.csv,SBIC,24/11/2025,190,190,180,183,78266
SBIC.csv,SBIC,01/12/2025,183,199,182,197.5,97365
SBIC.csv,SBIC,08/12/2025,197,200,182,195,268853
SBIC.csv,SBIC,15/12/2025,195,198,191,196,204854
SBIC.csv,SBIC,22/12/2025,197,198,195,197.75,16072
SBIC.csv,SBIC,29/12/2025,197.75,198,197,198,20438
SBIC.csv,SBIC,05/01/2026,198,199.75,197,197.75,356586
SBIC.csv,SBIC,12/01/2026,197.75,206,197.5,198,557641
SBIC.csv,SBIC,19/01/2026,200,206,196,198,2649377
SBIC.csv,SBIC,26/01/2026,198,206,196,198,1223717
SBIC.csv,SBIC,02/02/2026,198,217.5,197.5,205.25,1903827
SBIC.csv,SBIC,09/02/2026,210,247.5,205,241.75,801523
SBIC.csv,SBIC,16/02/2026,242,257.5,238,250,5295988
SBIC.csv,SBIC,23/02/2026,250,260,242,257.5,279111
SBIC.csv,SBIC,02/03/2026,258,259,245,257.75,602867
SBIC.csv,SBIC,09/03/2026,255,270,250,260,462707
SBIC.csv,SBIC,16/03/2026,261,262,258,260,652324
SBIC.csv,SBIC,23/03/2026,260,270,256.75,258,1644056
SBIC.csv,SBIC,30/03/2026,258,279.75,256,275,40466
SBIC.csv,SBIC,07/04/2026,275,300,261.25,280,68996
SBIC.csv,SBIC,13/04/2026,280,298,280,289,138941
SBIC.csv,SBIC,20/04/2026,296,296,284,287,21859
SBIC.csv,SBIC,27/04/2026,287,295,270,291,40784
SBIC.csv,SBIC,04/05/2026,295,295,275,291,726799
SBIC.csv,SBIC,11/05/2026,291,299.75,285,295,251760
SBIC.csv,SBIC,18/05/2026,289.75,289.75,272,272,36823
SBIC.csv,SBIC,25/05/2026,285,285,265,270,182492
SBIC.csv,SBIC,02/06/2026,270,295,267,285,211984
SBIC.csv,SBIC,08/06/2026,285,294,283.25,285,8680
SCBK.csv,SCBK,14/09/2020,169,169,160,163,60200
SCBK.csv,SCBK,21/09/2020,160,164,150,160,31000
SCBK.csv,SCBK,28/09/2020,161.75,169.75,158,160,32300
SCBK.csv,SCBK,05/10/2020,159,169,159,164,22600
SCBK.csv,SCBK,12/10/2020,160,162,152.25,160,14400
SCBK.csv,SCBK,19/10/2020,160,160,152,152.5,24600
SCBK.csv,SCBK,26/10/2020,152.75,160,152.75,160,19000
SCBK.csv,SCBK,02/11/2020,159.75,160,154,154,11300
SCBK.csv,SCBK,09/11/2020,156,160,145,160,31600
SCBK.csv,SCBK,16/11/2020,160,160,147,150,23300
SCBK.csv,SCBK,23/11/2020,150.5,151,145,150,26200
SCBK.csv,SCBK,30/11/2020,150,150,148,148,34400
SCBK.csv,SCBK,07/12/2020,150,159.5,145,150,131100
SCBK.csv,SCBK,14/12/2020,150,150,146.5,147,126100
SCBK.csv,SCBK,21/12/2020,147,147.5,144.75,145,208000
SCBK.csv,SCBK,28/12/2020,145,145,143,143.5,78500
SCBK.csv,SCBK,04/01/2021,148.75,148.75,135,140,222900
SCBK.csv,SCBK,11/01/2021,140,142,139,139.25,82700
SCBK.csv,SCBK,18/01/2021,139.25,140.25,138.25,140,137800
SCBK.csv,SCBK,25/01/2021,140,140,137.5,139,61600
SCBK.csv,SCBK,01/02/2021,138.5,140,135,137,602700
SCBK.csv,SCBK,08/02/2021,137,138,134.75,135,633600
SCBK.csv,SCBK,15/02/2021,135.5,135.5,134.75,135,478800
SCBK.csv,SCBK,22/02/2021,135,135,134.5,134.75,380500
SCBK.csv,SCBK,01/03/2021,134.75,134.75,134.25,134.5,195300
SCBK.csv,SCBK,08/03/2021,134.75,134.75,134,134.5,112100
SCBK.csv,SCBK,15/03/2021,134.5,134.5,132,133,144600
SCBK.csv,SCBK,22/03/2021,133,150,133,144.5,441900
SCBK.csv,SCBK,29/03/2021,140,143,140,142,88200
SCBK.csv,SCBK,05/04/2021,143,145.75,141,143,66000
SCBK.csv,SCBK,12/04/2021,143.5,146,142.25,142.75,109100
SCBK.csv,SCBK,19/04/2021,142.75,142.75,140.5,140.5,552500
SCBK.csv,SCBK,26/04/2021,141,142,133,133.5,224700
SCBK.csv,SCBK,03/05/2021,134.75,135,131,131.75,276700
SCBK.csv,SCBK,10/05/2021,132,132,131.25,132,90700
SCBK.csv,SCBK,17/05/2021,132,132,130,131.75,98200
SCBK.csv,SCBK,24/05/2021,131.5,132,129.75,130,328600
SCBK.csv,SCBK,31/05/2021,130,132,129.5,129.75,178100
SCBK.csv,SCBK,07/06/2021,130,130,129.5,130,357900
SCBK.csv,SCBK,14/06/2021,130,130,129.25,129.75,141900
SCBK.csv,SCBK,21/06/2021,130,130,127,130,296300
SCBK.csv,SCBK,28/06/2021,130,131,129.5,130,183300
SCBK.csv,SCBK,05/07/2021,130,132,129,129.5,603100
SCBK.csv,SCBK,12/07/2021,129.5,132,129,129.5,404000
SCBK.csv,SCBK,19/07/2021,132,132,129.25,129.5,168700
SCBK.csv,SCBK,26/07/2021,129.25,132,129.25,129.25,211600
SCBK.csv,SCBK,02/08/2021,132,139,129.5,131,746400
SCBK.csv,SCBK,09/08/2021,131.75,136,130.25,131,1058000
SCBK.csv,SCBK,16/08/2021,130.75,137,130,137,515000
SCBK.csv,SCBK,23/08/2021,134,142,134,139,220800
SCBK.csv,SCBK,30/08/2021,140,142,135.25,137,138800
SCBK.csv,SCBK,06/09/2021,136.25,136.25,133.25,134,67300
SCBK.csv,SCBK,13/09/2021,135.75,135.75,130,135,38100
SCBK.csv,SCBK,20/09/2021,135.75,135.75,129.5,130,184800
SCBK.csv,SCBK,27/09/2021,130,135,129.5,130,203400
SCBK.csv,SCBK,04/10/2021,132,135,128.5,129,140800
SCBK.csv,SCBK,11/10/2021,129,130,128,129.25,163000
SCBK.csv,SCBK,18/10/2021,129,130,129,130,58400
SCBK.csv,SCBK,25/10/2021,129.25,131,129,129.75,34900
SCBK.csv,SCBK,01/11/2021,129.75,130,128.75,130,94900
SCBK.csv,SCBK,08/11/2021,129.5,141,129,129,77500
SCBK.csv,SCBK,15/11/2021,129.5,134,128.5,129,357500
SCBK.csv,SCBK,22/11/2021,129,129,127,127.75,320100
SCBK.csv,SCBK,29/11/2021,128.5,133,127.75,128.75,295800
SCBK.csv,SCBK,06/12/2021,129,130,123,127,244100
SCBK.csv,SCBK,13/12/2021,127,127,126,126.5,158100
SCBK.csv,SCBK,20/12/2021,128.25,128.25,126.5,128,94900
SCBK.csv,SCBK,27/12/2021,128.25,129,127.5,128.5,73500
SCBK.csv,SCBK,03/01/2022,130,133,129.5,130,145900
SCBK.csv,SCBK,10/01/2022,132.25,132.25,129,129.5,69600
SCBK.csv,SCBK,17/01/2022,129.5,135,129.5,130.5,22500
SCBK.csv,SCBK,24/01/2022,131,135,130.5,131.25,77300
SCBK.csv,SCBK,31/01/2022,132,137.5,131.5,136,24000
SCBK.csv,SCBK,07/02/2022,135.75,139,135.75,138,56100
SCBK.csv,SCBK,14/02/2022,137,137.5,133,134.25,10400
SCBK.csv,SCBK,21/02/2022,135,137,132,132,49300
SCBK.csv,SCBK,28/02/2022,132.5,134.75,131.75,132,1264400
SCBK.csv,SCBK,07/03/2022,132,135,130.75,130.75,1291400
SCBK.csv,SCBK,14/03/2022,137,142,137,141,427600
SCBK.csv,SCBK,21/03/2022,141,144,139.5,142,2880400
SCBK.csv,SCBK,28/03/2022,142,145,141.5,143.5,286500
SCBK.csv,SCBK,04/04/2022,143.25,144,142.75,143.5,148000
SCBK.csv,SCBK,11/04/2022,144,148.75,142.25,145,318000
SCBK.csv,SCBK,19/04/2022,144.5,148,144,145,587200
SCBK.csv,SCBK,25/04/2022,145,145,128.25,128.25,255100
SCBK.csv,SCBK,04/05/2022,128,128.5,121,124.25,56700
SCBK.csv,SCBK,09/05/2022,125,126,124.5,124.5,296400
SCBK.csv,SCBK,16/05/2022,124.75,124.75,123,124,188800
SCBK.csv,SCBK,23/05/2022,125,125,123.75,124,221500
SCBK.csv,SCBK,30/05/2022,124,124.5,123.5,123.75,222900
SCBK.csv,SCBK,06/06/2022,123.75,126,123.5,124,169300
SCBK.csv,SCBK,13/06/2022,124,126,123.5,124,138100
SCBK.csv,SCBK,20/06/2022,124,126,123.25,126,66900
SCBK.csv,SCBK,27/06/2022,126,130,123.5,124,691500
SCBK.csv,SCBK,04/07/2022,124,135.75,123.75,130,1174100
SCBK.csv,SCBK,12/07/2022,134,134,130,130.5,38300
SCBK.csv,SCBK,18/07/2022,130.75,132,130,132,103300
SCBK.csv,SCBK,25/07/2022,133,138.75,132,132.75,189000
SCBK.csv,SCBK,01/08/2022,135,143,133,135.25,247000
SCBK.csv,SCBK,08/08/2022,140,142,135.25,139.25,110000
SCBK.csv,SCBK,15/08/2022,139.25,141,133,138.5,163500
SCBK.csv,SCBK,22/08/2022,138.5,138.75,134.25,136,136100
SCBK.csv,SCBK,29/08/2022,136,137,135.5,136,62400
SCBK.csv,SCBK,05/09/2022,136.75,145,136,140,282300
SCBK.csv,SCBK,12/09/2022,140,140,136,138,100800
SCBK.csv,SCBK,19/09/2022,136,139,136,138,30300
SCBK.csv,SCBK,26/09/2022,137,137,136.25,136.5,64600
SCBK.csv,SCBK,03/10/2022,138.75,138.75,134.25,134.25,233000
SCBK.csv,SCBK,11/10/2022,134.5,138.75,134,138.5,27200
SCBK.csv,SCBK,17/10/2022,138.25,138.75,137,138.5,34700
SCBK.csv,SCBK,24/10/2022,138.75,142,138,138,61200
SCBK.csv,SCBK,31/10/2022,137,140,135,135,55400
SCBK.csv,SCBK,07/11/2022,136,138,135,137,31400
SCBK.csv,SCBK,14/11/2022,138.5,139.75,137.25,139.25,105200
SCBK.csv,SCBK,21/11/2022,139,143,139,142.75,62900
SCBK.csv,SCBK,28/11/2022,141.5,146.5,141.5,146,77800
SCBK.csv,SCBK,05/12/2022,146,147,145,145,749900
SCBK.csv,SCBK,13/12/2022,146,148.25,134,134,125400
SCBK.csv,SCBK,19/12/2022,140,143.75,136,143.75,29800
SCBK.csv,SCBK,27/12/2022,140,145,140,143,12200
SCBK.csv,SCBK,03/01/2023,143,152,143,151,107600
SCBK.csv,SCBK,09/01/2023,160,160,151.5,158,67400
SCBK.csv,SCBK,16/01/2023,156.25,158,153.75,155,106200
SCBK.csv,SCBK,23/01/2023,155,159,153,157,249800
SCBK.csv,SCBK,30/01/2023,157,159,157,157,512700
SCBK.csv,SCBK,06/02/2023,157,165,157,159,330500
SCBK.csv,SCBK,13/02/2023,160,168,158.25,161,24900
SCBK.csv,SCBK,20/02/2023,161.25,167,161,163.5,33800
SCBK.csv,SCBK,27/02/2023,163.5,166.75,160,164,119600
SCBK.csv,SCBK,06/03/2023,164,168,163,167,276200
SCBK.csv,SCBK,13/03/2023,167.5,169.25,163.25,167,1151700
SCBK.csv,SCBK,20/03/2023,167,170,165,170,526200
SCBK.csv,SCBK,27/03/2023,167,170,167,169.75,31300
SCBK.csv,SCBK,03/04/2023,171,172,168,169,55800
SCBK.csv,SCBK,11/04/2023,169,172.5,167.75,170,108500
SCBK.csv,SCBK,17/04/2023,170,172,165,170,210700
SCBK.csv,SCBK,24/04/2023,164,164,135.25,147.75,45300
SCBK.csv,SCBK,02/05/2023,148,148,141,141,76300
SCBK.csv,SCBK,08/05/2023,143,143,134,134,122200
SCBK.csv,SCBK,15/05/2023,136,143,136,140,464100
SCBK.csv,SCBK,22/05/2023,141,150,140,150,168800
SCBK.csv,SCBK,29/05/2023,150,160,145,158.75,30800
SCBK.csv,SCBK,05/06/2023,159,161,155,160,160800
SCBK.csv,SCBK,12/06/2023,160,162.75,159,160.25,169600
SCBK.csv,SCBK,19/06/2023,160,162,160,162,49700
SCBK.csv,SCBK,26/06/2023,162,162,160,160.75,51700
SCBK.csv,SCBK,03/07/2023,160.5,163,160,162,235600
SCBK.csv,SCBK,10/07/2023,162,162,161,161.5,95600
SCBK.csv,SCBK,17/07/2023,162,163,161,162.5,69600
SCBK.csv,SCBK,24/07/2023,162.5,170,162.5,165,365700
SCBK.csv,SCBK,31/07/2023,165.5,166,164.25,165.5,72900
SCBK.csv,SCBK,07/08/2023,166,166.5,163,165,105300
SCBK.csv,SCBK,14/08/2023,166,166,147,150,153700
SCBK.csv,SCBK,21/08/2023,159.25,162,157,159,33900
SCBK.csv,SCBK,28/08/2023,159,160,158,160,93200
SCBK.csv,SCBK,04/09/2023,160,163,158.5,162,77500
SCBK.csv,SCBK,11/09/2023,162,163,159.5,160,43500
SCBK.csv,SCBK,18/09/2023,160,165,160,165,98900
SCBK.csv,SCBK,25/09/2023,163,165,160,164,99800
SCBK.csv,SCBK,02/10/2023,165,165,160,160,112400
SCBK.csv,SCBK,09/10/2023,160,164.75,155,160,252300
SCBK.csv,SCBK,16/10/2023,160,164,157,160,228400
SCBK.csv,SCBK,23/10/2023,160,160,155,155,38900
SCBK.csv,SCBK,30/10/2023,159,159,155,155,47000
SCBK.csv,SCBK,06/11/2023,151.25,156,149.75,152,44300
SCBK.csv,SCBK,14/11/2023,154.5,157,152,156.75,74200
SCBK.csv,SCBK,20/11/2023,156.5,169.75,155,159.75,45300
SCBK.csv,SCBK,27/11/2023,159,160,154,159,71900
SCBK.csv,SCBK,04/12/2023,159,165,158,164,33500
SCBK.csv,SCBK,11/12/2023,164,164,152,155,66500
SCBK.csv,SCBK,18/12/2023,155,162,152,161.75,23600
SCBK.csv,SCBK,27/12/2023,161.75,162,160,161.75,8500
SCBK.csv,SCBK,02/01/2024,160.25,165,160,164,45200
SCBK.csv,SCBK,08/01/2024,164,165,160,162,24000
SCBK.csv,SCBK,15/01/2024,164.5,165,152,164,50100
SCBK.csv,SCBK,22/01/2024,163,165,158,160,50800
SCBK.csv,SCBK,29/01/2024,160,163,160,162,34700
SCBK.csv,SCBK,05/02/2024,161,169,160,165,52900
SCBK.csv,SCBK,12/02/2024,165,169.75,162.25,163.25,15200
SCBK.csv,SCBK,19/02/2024,163,165,163,164,57600
SCBK.csv,SCBK,26/02/2024,164,164,148,148,48600
SCBK.csv,SCBK,04/03/2024,164,173,155.5,160,87600
SCBK.csv,SCBK,11/03/2024,160,187,160,187,153500
SCBK.csv,SCBK,18/03/2024,186.75,189.5,184,189.5,116500
SCBK.csv,SCBK,25/03/2024,190,200,190,196.75,155900
SCBK.csv,SCBK,02/04/2024,196.75,205,196.75,205,112200
SCBK.csv,SCBK,08/04/2024,205,205,196,199,96500
SCBK.csv,SCBK,15/04/2024,198,199.5,190,194.25,377800
SCBK.csv,SCBK,22/04/2024,184.75,184.75,160,173,88800
SCBK.csv,SCBK,29/04/2024,165.5,173,165.25,173,32500
SCBK.csv,SCBK,06/05/2024,173,179.5,173,176.5,85600
SCBK.csv,SCBK,13/05/2024,178,185,175,185,75900
SCBK.csv,SCBK,20/05/2024,185,188,180,188,34000
SCBK.csv,SCBK,27/05/2024,185.5,195,183,187,162400
SCBK.csv,SCBK,03/06/2024,187,190,187,189.75,375500
SCBK.csv,SCBK,10/06/2024,190,199.75,189,198,83700
SCBK.csv,SCBK,17/06/2024,197,197.75,190,195,471100
SCBK.csv,SCBK,24/06/2024,196.5,196.5,190,194,56300
SCBK.csv,SCBK,01/07/2024,192,200,192,194,209800
SCBK.csv,SCBK,08/07/2024,194,197,192.5,194,186700
SCBK.csv,SCBK,15/07/2024,194,195,192,192.75,48800
SCBK.csv,SCBK,22/07/2024,192.75,194,188,190,61500
SCBK.csv,SCBK,29/07/2024,191.5,191.5,188,190,74100
SCBK.csv,SCBK,05/08/2024,190,194.75,185.5,189,218500
SCBK.csv,SCBK,12/08/2024,190,194.5,187,189,68000
SCBK.csv,SCBK,19/08/2024,189,210,189,203,313900
SCBK.csv,SCBK,26/08/2024,205,209,200.5,202.25,16200
SCBK.csv,SCBK,02/09/2024,205,222.25,203,208.5,95300
SCBK.csv,SCBK,09/09/2024,212,213,209,211,188700
SCBK.csv,SCBK,16/09/2024,212,216,200,200,294300
SCBK.csv,SCBK,23/09/2024,203.5,210,202,210,101100
SCBK.csv,SCBK,30/09/2024,204,212,204,212,48200
SCBK.csv,SCBK,07/10/2024,212,218,212,218,36100
SCBK.csv,SCBK,14/10/2024,216.25,233,216,227,34700
SCBK.csv,SCBK,22/10/2024,230,233,225.25,230,42000
SCBK.csv,SCBK,28/10/2024,230,235,228,233,99700
SCBK.csv,SCBK,04/11/2024,234,236,230,232,78900
SCBK.csv,SCBK,11/11/2024,230.5,239,228,239,68000
SCBK.csv,SCBK,18/11/2024,236.5,248,232,248,86400
SCBK.csv,SCBK,25/11/2024,240,249,236.5,249,39200
SCBK.csv,SCBK,02/12/2024,243,251,243,250.25,35700
SCBK.csv,SCBK,09/12/2024,250,263.75,250,260,27900
SCBK.csv,SCBK,16/12/2024,260,275,254.5,270.75,60100
SCBK.csv,SCBK,23/12/2024,270,285,268.5,285,17800
SCBK.csv,SCBK,30/12/2024,285,300,269.25,300,74800
SCBK.csv,SCBK,06/01/2025,291,305,290,300,555800
SCBK.csv,SCBK,13/01/2025,299.75,300,275,285,224600
SCBK.csv,SCBK,20/01/2025,281,290,276.25,285,212100
SCBK.csv,SCBK,27/01/2025,282.5,289,276.25,278,43800
SCBK.csv,SCBK,03/02/2025,278,295,275,278,189600
SCBK.csv,SCBK,10/02/2025,280,295,280,293.75,78400
SCBK.csv,SCBK,17/02/2025,287,296,285,293,57200
SCBK.csv,SCBK,24/02/2025,296,310,290,300,296500
SCBK.csv,SCBK,03/03/2025,300.25,310,298,309.5,81700
SCBK.csv,SCBK,10/03/2025,300,300,269.75,270,116800
SCBK.csv,SCBK,17/03/2025,269.75,315,265.5,305,304600
SCBK.csv,SCBK,24/03/2025,305,305,298,300,156500
SCBK.csv,SCBK,01/04/2025,300,303,298,301.5,121000
SCBK.csv,SCBK,07/04/2025,303,310,290,297,219900
SCBK.csv,SCBK,14/04/2025,303,303,297,301,164200
SCBK.csv,SCBK,22/04/2025,303,310,300,306,212800
SCBK.csv,SCBK,28/04/2025,306,310,268,269,360700
SCBK.csv,SCBK,05/05/2025,270,280,266,267.75,110200
SCBK.csv,SCBK,12/05/2025,267,275,260,275,319400
SCBK.csv,SCBK,19/05/2025,275,280,262,264,435400
SCBK.csv,SCBK,26/05/2025,270,278,266.5,268,408300
SCBK.csv,SCBK,03/06/2025,268.5,278,266,270,111400
SCBK.csv,SCBK,09/06/2025,270,282,268,282,511300
SCBK.csv,SCBK,16/06/2025,280,300,280,289,240000
SCBK.csv,SCBK,23/06/2025,290,300,283,300,142500
SCBK.csv,SCBK,30/06/2025,300,319,297,306,161400
SCBK.csv,SCBK,07/07/2025,306,306,297,302,137100
SCBK.csv,SCBK,14/07/2025,302,310,300,305,1023000
SCBK.csv,SCBK,21/07/2025,310,310,300,310,130200
SCBK.csv,SCBK,28/07/2025,310,320,309,315,229500
SCBK.csv,SCBK,04/08/2025,315.5,324.5,310,324.5,206950
SCBK.csv,SCBK,11/08/2025,325,339.5,323,335,78241
SCBK.csv,SCBK,18/08/2025,335,347.5,301.5,315,106535
SCBK.csv,SCBK,25/08/2025,317,325,315,320,522658
SCBK.csv,SCBK,01/09/2025,320,340,318,325,711982
SCBK.csv,SCBK,08/09/2025,314,322,288,305,696566
SCBK.csv,SCBK,15/09/2025,307,310,282,282.75,497350
SCBK.csv,SCBK,22/09/2025,283,290,282,285,2123113
SCBK.csv,SCBK,29/09/2025,290,290,283,284,244300
SCBK.csv,SCBK,06/10/2025,284,285,279.5,283,141769
SCBK.csv,SCBK,13/10/2025,283,300,280.5,289,84976
SCBK.csv,SCBK,21/10/2025,293,300,285,298,659382
SCBK.csv,SCBK,27/10/2025,298,310,295,308,60067
SCBK.csv,SCBK,03/11/2025,308,315,307,311,143010
SCBK.csv,SCBK,10/11/2025,311.5,312,299.5,302.25,68774
SCBK.csv,SCBK,17/11/2025,302,306,295,299,347813
SCBK.csv,SCBK,24/11/2025,300,300,284,287.5,339427
SCBK.csv,SCBK,01/12/2025,287.5,290,285.5,287,187613
SCBK.csv,SCBK,08/12/2025,287,290,286,288,222917
SCBK.csv,SCBK,15/12/2025,288,305,286,305,358064
SCBK.csv,SCBK,22/12/2025,305,305,290,300,188604
SCBK.csv,SCBK,29/12/2025,305,305,295,300,39010
SCBK.csv,SCBK,05/01/2026,300,310,294,310,181939
SCBK.csv,SCBK,12/01/2026,307,310,302.25,308,119709
SCBK.csv,SCBK,19/01/2026,308,310,305,310,83703
SCBK.csv,SCBK,26/01/2026,309.75,310.25,305,309.5,649181
SCBK.csv,SCBK,02/02/2026,308,316,307.5,316,253246
SCBK.csv,SCBK,09/02/2026,316,359.75,310.5,338,224221
SCBK.csv,SCBK,16/02/2026,340,340,326,336.5,295255
SCBK.csv,SCBK,23/02/2026,331,365,330,365,219633
SCBK.csv,SCBK,02/03/2026,364,364,320,354,369856
SCBK.csv,SCBK,09/03/2026,353.75,354,321,335,213325
SCBK.csv,SCBK,16/03/2026,337,345,320,330.5,103219
SCBK.csv,SCBK,23/03/2026,330.5,330.5,320,328,193490
SCBK.csv,SCBK,30/03/2026,329,340,328,340,30997
SCBK.csv,SCBK,07/04/2026,340,349.75,335,345,70700
SCBK.csv,SCBK,13/04/2026,345,368,345,357,178198
SCBK.csv,SCBK,20/04/2026,360,370,343.75,349,181311
SCBK.csv,SCBK,27/04/2026,349,364,340,349.75,279140
SCBK.csv,SCBK,04/05/2026,340,340,316,333,260198
SCBK.csv,SCBK,11/05/2026,336,350,301.5,342.75,159235
SCBK.csv,SCBK,18/05/2026,341.25,344.75,320,336,119776
SCBK.csv,SCBK,25/05/2026,337,344,333,336,484218
SCBK.csv,SCBK,02/06/2026,336,336,330,332,134152
SCBK.csv,SCBK,08/06/2026,331.75,335,331,332,15357
